,id,uuid,date,tag,description,duration,start_time,end_time,created_at,updated_at
97,98,075147a9-8f5c-44a4-a46d-dce222b2d13b,2022-01-23,Studio,Rossi,00:39:25,,,2024-07-22 22:58:50.036000+00:00,2024-07-22 22:58:50.037000+00:00
291,292,d23d818c-e585-4175-b4d6-5dbdb8cea503,2022-03-31,WAJAD,Devolpment,00:46:51,,,2024-07-22 22:58:51.712000+00:00,2024-07-22 22:58:51.713000+00:00
290,291,35dd7688-0a92-4581-9db7-849f086368f0,2022-03-31,Obsidian,LoS,00:15:36,,,2024-07-22 22:58:51.703000+00:00,2024-07-22 22:58:51.704000+00:00
325,326,91b0cd1a-9782-4ca1-95f5-b92d928d5fd5,2022-04-03,Life,Casa,00:53:10,2024-03-11 02:54:51.051000+01:00,2024-03-11 02:54:53.260000+01:00,2024-07-22 22:58:52.023000+00:00,2024-07-22 22:58:52.024000+00:00
6,7,ce016f39-c442-43c3-8f33-a6140ed45de8,2022-04-03,Life,Cura,00:12:06,2024-03-11 02:54:56.143000+01:00,2024-03-11 04:32:25.687000+01:00,2024-07-22 22:58:49.132000+00:00,2024-07-22 22:58:49.133000+00:00
7,8,17d22f9a-8232-415e-aa13-dec404921223,2022-04-03,Family & Frens,Frens,02:24:34,2024-03-11 04:32:28.351000+01:00,2024-03-11 11:21:40.989000+01:00,2024-07-22 22:58:49.141000+00:00,2024-07-22 22:58:49.142000+00:00
394,395,16bd8fb8-b975-4157-bebe-bfa44e6e3c48,2022-04-04,Life,Organizzazione,00:05:59,2024-03-12 11:49:05.810000+01:00,2024-03-12 18:54:49.604000+01:00,2024-07-22 22:58:52.647000+00:00,2024-07-22 22:58:52.648000+00:00
23,24,e9aad79f-e34d-4bb4-bfff-c9c277a5e4a2,2022-04-04,Family & Frens,Frens,03:11:46,2024-03-14 14:05:14.495000+01:00,2024-03-14 18:28:47.356000+01:00,2024-07-22 22:58:49.352000+00:00,2024-07-22 22:58:49.353000+00:00
22,23,406ff6da-8023-42c4-afaa-62f48811d703,2022-04-04,WAJAD,Devolpment,00:21:19,2024-03-13 21:18:49.545000+01:00,2024-03-14 12:05:31.707000+01:00,2024-07-22 22:58:49.338000+00:00,2024-07-22 22:58:49.340000+00:00
21,22,d25508c6-650c-457a-90f1-ef756a45c234,2022-04-04,Family & Frens,Frens,00:45:19,2024-03-13 20:24:00.346000+01:00,2024-03-13 21:18:46.458000+01:00,2024-07-22 22:58:49.324000+00:00,2024-07-22 22:58:49.326000+00:00
20,21,ce34a1a0-ed70-43b8-9a20-831845c959b6,2022-04-04,Life,Cura,00:09:43,2024-03-13 19:56:33.991000+01:00,2024-03-13 20:23:58.192000+01:00,2024-07-22 22:58:49.311000+00:00,2024-07-22 22:58:49.312000+00:00
19,20,eaf5a334-5448-40bc-8090-b7acf95598e3,2022-04-04,Studio,Ryskalin,00:28:36,2024-03-13 18:11:30.563000+01:00,2024-03-13 19:56:31.518000+01:00,2024-07-22 22:58:49.299000+00:00,2024-07-22 22:58:49.300000+00:00
18,19,7eddb09b-47aa-4586-a6fd-8f255110802a,2022-04-04,Studio,Giuffra,00:20:33,2024-03-13 12:07:06.377000+01:00,2024-03-13 18:11:28.039000+01:00,2024-07-22 22:58:49.285000+00:00,2024-07-22 22:58:49.286000+00:00
17,18,65b5875a-207f-4559-9932-4f7a483b056f,2022-04-04,Studio,Rossi,00:41:16,2024-03-13 06:19:32.818000+01:00,2024-03-13 12:07:02.331000+01:00,2024-07-22 22:58:49.273000+00:00,2024-07-22 22:58:49.274000+00:00
